Line,EventId,EventTemplate,Content,ParameterList
0,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_38865049064139660 terminating,"['1', '38865049064139660']"
1,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_-6952295868487656571 terminating,"['0', '-6952295868487656571']"
2,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,"['10.251.73.220:50010', '7128370237687728475', '67108864']"
3,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_8229193803249955061 terminating,"['2', '8229193803249955061']"
4,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_-6670958622368987959 terminating,"['2', '-6670958622368987959']"
5,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,"['10.251.43.115:50010', '3050920587428079149', '67108864']"
6,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,"['10.251.203.80:50010', '7888946331804732825', '67108864']"
7,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,"['10.250.11.85:50010', '2377150260128098806', '67108864']"
8,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_572492839287299681 terminating,"['2', '572492839287299681']"
9,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,"['3587508140051953248', '67108864', '10.251.42.84']"
10,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,"['5402003568334525940', '67108864', '10.251.214.112']"
11,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,"['5792489080791696128', '10.251.30.6:33145', '10.251.30.6:50010']"
