,EventId,EventTemplate,Content,ParameterList
0,E23,Loaded Servicing Stack <*> with Core: <*>\cbscore.dll,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,"['v6.1.7601.23505', 'C:\\Windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0']"
1,E13,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),"['00000001@2016', '9/27', '20', '30:31.455', '0.0.0.6', '0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f']"
2,E13,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),"['00000002@2016', '9/27', '20', '30:31.458', '0.0.0.6', '0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799']"
3,E13,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),"['00000003@2016', '9/27', '20', '30:31.458', '0.0.0.6', '0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f']"
4,E17,Ending TrustedInstaller initialization.,Ending TrustedInstaller initialization.,[]
5,E44,Starting the TrustedInstaller main loop.,Starting the TrustedInstaller main loop.,[]
6,E48,TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.,[]
7,E40,SQM: Initializing online with Windows opt-in: False,SQM: Initializing online with Windows opt-in: False,[]
8,E37,SQM: Cleaning up report files older than <*> days.,SQM: Cleaning up report files older than 10 days.,['10']
9,E42,SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.,[]
