EventId,EventTemplate,Content,ParameterList
E100,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","['9f4ef63', 'a64f992', 'de9231d', 'com.tencent.qt.qtl', 'activity.info.NewsDetailXmlActivity']"
E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227","['233570404', '0x1', 'View Lock', 'com.android.systemui', 'null', '10037', '2227']"
E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","['3', '1', '0x23', '0x1', '38', '-1', '0', '0']"
E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,"['df0798e', '78af589', '3b04890', 'com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761']"
E165,visible is <*>,visible is system.time.showampm,['system.time.showampm']
E82,mVisiblity.getValue is false,mVisiblity.getValue is false,[]
E165,visible is <*>,visible is system.charge.show,['system.charge.show']
E82,mVisiblity.getValue is false,mVisiblity.getValue is false,[]
E166,visible is <*> gt <*>,visible is system.call.count gt 0,"['system.call.count', '0']"
E82,mVisiblity.getValue is false,mVisiblity.getValue is false,[]
E166,visible is <*> gt <*>,visible is system.message.count gt 0,"['system.message.count', '0']"
E82,mVisiblity.getValue is false,mVisiblity.getValue is false,[]
E165,visible is <*>,visible is system.ownerinfo.show,['system.ownerinfo.show']
E82,mVisiblity.getValue is false,mVisiblity.getValue is false,[]
E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227","['233570404', '0x0', 'View Lock', 'com.android.systemui""', 'null', '10037', '2227']"
E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","['3', '1', '0x23', '0x1', '38', '-1', '0', '0']"
E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,"['df0798e', '78af589', '3b04890', 'com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761']"
E155,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>","updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0","['333.0', '-24.0']"
E157,updateDimmedActivatedHideSensitive overlap:false,updateDimmedActivatedHideSensitive overlap:false,[]
E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,['10113']
E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702","['189667585', '0x0', '*launch*', 'android""', 'WorkSource{10113}', '1000', '1702']"
E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","['3', '1', '0x23', '0x1', '38', '-1', '0', '0']"
E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)","setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","['40000500', 'ffffffff', '508', '40000500', '40000008', '0', '0', '0', '0', '720', '1280', '0', '0', '0', '0']"
