EventId,EventTemplate,Content,ParameterList
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),"['\\042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\\042', '1973']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),"['\\042alt0\\042', '3180']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),"['\\042alt0\\042', '5089']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),"['\\042alt0\\042', '4088']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),"['\\042alt0\\042', '2538']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),"['\\042alt0\\042', '2480']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),"['\\042alt0\\042', '3713']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),"['\\042alt0\\042', '3891']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),"['\\042alt0\\042', '2478']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),"['\\042alt0\\042', '2969']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),"['\\042alt0\\042', '4159']"
E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),"['\\042alt0\\042', '2608']"
E8,clusterAddMember  (command <*>),clusterAddMember  (command 1902),['1902']
E8,clusterAddMember  (command <*>),clusterAddMember  (command 1900),['1900']
E36,risBoot  (command <*>),risBoot  (command 1903),['1903']
E6,bootGenvmunix  (command <*>),bootGenvmunix  (command 1903),['1903']
E4,boot  (command <*>),boot  (command 1911),['1911']
E4,boot  (command <*>),boot  (command 1910),['1910']
E4,boot  (command <*>),boot  (command 1978),['1978']
E4,boot  (command <*>),boot  (command 1967),['1967']
E45,wait  (command <*>),wait  (command 1975),['1975']
E4,boot  (command <*>),boot  (command 1999),['1999']
E19,halt  (command <*>),halt  (command 1982),['1982']
E4,boot  (command <*>),boot  (command 1981),['1981']
E4,boot  (command <*>),boot  (command 1973),['1973']
E45,wait  (command <*>),wait  (command 1973),['1973']
E45,wait  (command <*>),wait  (command 2057),['2057']
E4,boot  (command <*>),boot  (command 2152),['2152']
E45,wait  (command <*>),wait  (command 2154),['2154']
E4,boot  (command <*>),boot  (command 2141),['2141']
E4,boot  (command <*>),boot  (command 2110),['2110']
E4,boot  (command <*>),boot  (command 2160),['2160']
E19,halt  (command <*>),halt  (command 2221),['2221']
E45,wait  (command <*>),wait  (command 2217),['2217']
E45,wait  (command <*>),wait  (command 2217),['2217']
E45,wait  (command <*>),wait  (command 2201),['2201']
E45,wait  (command <*>),wait  (command 2199),['2199']
E4,boot  (command <*>),boot  (command 2183),['2183']
E45,wait  (command <*>),wait  (command 2189),['2189']
E45,wait  (command <*>),wait  (command 2302),['2302']
E45,wait  (command <*>),wait  (command 2270),['2270']
E45,wait  (command <*>),wait  (command 2257),['2257']
E4,boot  (command <*>),boot  (command 2257),['2257']
E4,boot  (command <*>),boot  (command 2316),['2316']
E4,boot  (command <*>),boot  (command 2316),['2316']
E45,wait  (command <*>),wait  (command 2322),['2322']
E45,wait  (command <*>),wait  (command 2354),['2354']
E45,wait  (command <*>),wait  (command 2347),['2347']
E4,boot  (command <*>),boot  (command 2368),['2368']
E4,boot  (command <*>),boot  (command 2392),['2392']
E4,boot  (command <*>),boot  (command 2406),['2406']
E4,boot  (command <*>),boot  (command 2417),['2417']
E4,boot  (command <*>),boot  (command 2423),['2423']
E45,wait  (command <*>),wait  (command 2424),['2424']
E45,wait  (command <*>),wait  (command 2449),['2449']
E4,boot  (command <*>),boot  (command 2464),['2464']
E45,wait  (command <*>),wait  (command 2468),['2468']
E4,boot  (command <*>),boot  (command 2520),['2520']
E45,wait  (command <*>),wait  (command 2517),['2517']
E4,boot  (command <*>),boot  (command 2517),['2517']
E45,wait  (command <*>),wait  (command 2511),['2511']
E45,wait  (command <*>),wait  (command 2513),['2513']
E4,boot  (command <*>),boot  (command 2514),['2514']
E45,wait  (command <*>),wait  (command 2484),['2484']
E4,boot  (command <*>),boot  (command 2625),['2625']
E45,wait  (command <*>),wait  (command 2607),['2607']
E4,boot  (command <*>),boot  (command 2616),['2616']
E4,boot  (command <*>),boot  (command 2619),['2619']
E4,boot  (command <*>),boot  (command 2616),['2616']
E4,boot  (command <*>),boot  (command 2616),['2616']
E4,boot  (command <*>),boot  (command 2602),['2602']
E45,wait  (command <*>),wait  (command 2582),['2582']
E4,boot  (command <*>),boot  (command 2584),['2584']
E45,wait  (command <*>),wait  (command 2549),['2549']
E4,boot  (command <*>),boot  (command 2550),['2550']
E4,boot  (command <*>),boot  (command 2548),['2548']
E4,boot  (command <*>),boot  (command 2538),['2538']
E45,wait  (command <*>),wait  (command 2683),['2683']
E4,boot  (command <*>),boot  (command 2686),['2686']
E45,wait  (command <*>),wait  (command 2682),['2682']
E45,wait  (command <*>),wait  (command 2763),['2763']
E45,wait  (command <*>),wait  (command 2800),['2800']
E4,boot  (command <*>),boot  (command 2790),['2790']
E45,wait  (command <*>),wait  (command 2817),['2817']
E45,wait  (command <*>),wait  (command 2823),['2823']
E45,wait  (command <*>),wait  (command 2817),['2817']
E45,wait  (command <*>),wait  (command 2900),['2900']
E45,wait  (command <*>),wait  (command 2885),['2885']
E45,wait  (command <*>),wait  (command 2909),['2909']
E4,boot  (command <*>),boot  (command 2960),['2960']
E45,wait  (command <*>),wait  (command 2963),['2963']
E4,boot  (command <*>),boot  (command 2999),['2999']
E19,halt  (command <*>),halt  (command 2992),['2992']
E45,wait  (command <*>),wait  (command 3087),['3087']
E45,wait  (command <*>),wait  (command 3079),['3079']
E45,wait  (command <*>),wait  (command 3078),['3078']
E45,wait  (command <*>),wait  (command 3141),['3141']
E4,boot  (command <*>),boot  (command 3138),['3138']
E4,boot  (command <*>),boot  (command 3169),['3169']
E4,boot  (command <*>),boot  (command 3169),['3169']
E4,boot  (command <*>),boot  (command 3194),['3194']
E4,boot  (command <*>),boot  (command 3320),['3320']
E4,boot  (command <*>),boot  (command 3318),['3318']
E4,boot  (command <*>),boot  (command 3317),['3317']
E45,wait  (command <*>),wait  (command 3319),['3319']
E45,wait  (command <*>),wait  (command 3334),['3334']
E4,boot  (command <*>),boot  (command 3334),['3334']
E45,wait  (command <*>),wait  (command 3412),['3412']
E4,boot  (command <*>),boot  (command 3413),['3413']
E4,boot  (command <*>),boot  (command 3473),['3473']
E45,wait  (command <*>),wait  (command 3523),['3523']
E45,wait  (command <*>),wait  (command 3525),['3525']
E45,wait  (command <*>),wait  (command 3519),['3519']
E4,boot  (command <*>),boot  (command 3519),['3519']
E4,boot  (command <*>),boot  (command 3512),['3512']
E4,boot  (command <*>),boot  (command 3579),['3579']
E4,boot  (command <*>),boot  (command 3572),['3572']
E4,boot  (command <*>),boot  (command 3580),['3580']
E45,wait  (command <*>),wait  (command 3612),['3612']
E4,boot  (command <*>),boot  (command 3615),['3615']
E45,wait  (command <*>),wait  (command 3609),['3609']
E4,boot  (command <*>),boot  (command 3624),['3624']
E45,wait  (command <*>),wait  (command 3649),['3649']
E4,boot  (command <*>),boot  (command 3639),['3639']
E45,wait  (command <*>),wait  (command 3690),['3690']
E4,boot  (command <*>),boot  (command 3696),['3696']
E45,wait  (command <*>),wait  (command 3698),['3698']
E45,wait  (command <*>),wait  (command 3709),['3709']
E45,wait  (command <*>),wait  (command 3837),['3837']
E45,wait  (command <*>),wait  (command 3847),['3847']
E4,boot  (command <*>),boot  (command 3951),['3951']
E4,boot  (command <*>),boot  (command 3928),['3928']
E4,boot  (command <*>),boot  (command 3939),['3939']
E4,boot  (command <*>),boot  (command 3964),['3964']
E45,wait  (command <*>),wait  (command 3973),['3973']
E45,wait  (command <*>),wait  (command 3981),['3981']
E45,wait  (command <*>),wait  (command 3981),['3981']
E4,boot  (command <*>),boot  (command 4024),['4024']
E45,wait  (command <*>),wait  (command 4061),['4061']
E45,wait  (command <*>),wait  (command 4110),['4110']
E4,boot  (command <*>),boot  (command 4118),['4118']
E45,wait  (command <*>),wait  (command 4116),['4116']
E45,wait  (command <*>),wait  (command 4117),['4117']
E4,boot  (command <*>),boot  (command 4109),['4109']
E45,wait  (command <*>),wait  (command 4145),['4145']
E4,boot  (command <*>),boot  (command 4176),['4176']
E4,boot  (command <*>),boot  (command 4170),['4170']
E45,wait  (command <*>),wait  (command 4176),['4176']
E45,wait  (command <*>),wait  (command 4176),['4176']
E6,bootGenvmunix  (command <*>),bootGenvmunix  (command 4185),['4185']
E4,boot  (command <*>),boot  (command 4223),['4223']
E45,wait  (command <*>),wait  (command 4221),['4221']
E45,wait  (command <*>),wait  (command 4219),['4219']
E12,Command has completed successfully,Command has completed successfully,[]
E12,Command has completed successfully,Command has completed successfully,[]
E12,Command has completed successfully,Command has completed successfully,[]
E12,Command has completed successfully,Command has completed successfully,[]
E12,Command has completed successfully,Command has completed successfully,[]
E12,Command has completed successfully,Command has completed successfully,[]
E12,Command has completed successfully,Command has completed successfully,[]
E12,Command has completed successfully,Command has completed successfully,[]
E12,Command has completed successfully,Command has completed successfully,[]
E12,Command has completed successfully,Command has completed successfully,[]
E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>,Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,"['3', '104-127', '1963']"
E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>,Targeting domains:node-D4 and nodes:node-[136-159] child of command 1964,"['4', '136-159', '1964']"
