EventId,EventTemplate,Content,ParameterList
E29,Created MRAppMaster for application appattempt_<*>,Created MRAppMaster for application appattempt_1445144423722_0020_000001,['1445144423722_0020_000001']
E42,Executing with tokens:,Executing with tokens:,[]
E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","['20', '1445144423722', '1', '-127633188']"
E111,Using mapred newApiCommitter.,Using mapred newApiCommitter.,[]
E76,OutputCommitter set in config null,OutputCommitter set in config null,[]
E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,[]
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,"['jobhistory.EventType', 'jobhistory.JobHistoryEventHandler']"
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,"['v2.app.job.event.JobEventType', 'v2.app.MRAppMaster$JobEventDispatcher']"
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,"['v2.app.job.event.TaskEventType', 'v2.app.MRAppMaster$TaskEventDispatcher']"
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,"['v2.app.job.event.TaskAttemptEventType', 'v2.app.MRAppMaster$TaskAttemptEventDispatcher']"
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,"['v2.app.commit.CommitterEventType', 'v2.app.commit.CommitterEventHandler']"
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,"['v2.app.speculate.Speculator$EventType', 'v2.app.MRAppMaster$SpeculatorEventDispatcher']"
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,"['v2.app.rm.ContainerAllocator$EventType', 'v2.app.MRAppMaster$ContainerAllocatorRouter']"
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,"['v2.app.launcher.ContainerLauncher$EventType', 'v2.app.MRAppMaster$ContainerLauncherRouter']"
E31,Default file system [hdfs://<*>:<*>],Default file system [hdfs://msra-sa-41:9000],['msra-sa-41:9000']
E31,Default file system [hdfs://<*>:<*>],Default file system [hdfs://msra-sa-41:9000],['msra-sa-41:9000']
E31,Default file system [hdfs://<*>:<*>],Default file system [hdfs://msra-sa-41:9000],['msra-sa-41:9000']
E37,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,[]
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,"['v2.app.job.event.JobFinishEvent$Type', 'v2.app.MRAppMaster$JobFinishEventHandler']"
E63,loaded properties from hadoop-metrics2.properties,loaded properties from hadoop-metrics2.properties,[]
E92,Scheduled snapshot period at <*> second(s).,Scheduled snapshot period at 10 second(s).,['10']
E69,MRAppMaster metrics system started,MRAppMaster metrics system started,[]
E7,Adding job token for job_<*> to jobTokenSecretManager,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,['1445144423722_0020']
E71,Not uberizing job_<*> because: not enabled; too many maps; too much input;,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,['1445144423722_0020']
E48,Input size for job job_<*> = <*>. Number of splits = <*>,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,"['1445144423722_0020', '1256521728', '10']"
E73,Number of reduces for job job_<*> = <*>,Number of reduces for job job_1445144423722_0020 = 1,"['1445144423722_0020', '1']"
E55,job_<*>Job Transitioned from NEW to INITED,job_1445144423722_0020Job Transitioned from NEW to INITED,['1445144423722_0020']
E68,"MRAppMaster launching normal, non-uberized, multi-container job job_<*>.","MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",['1445144423722_0020']
E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,Using callQueue class java.util.concurrent.LinkedBlockingQueue,[]
E98,Starting Socket Reader #<*> for port <*>,Starting Socket Reader #1 for port 62260,"['1', '62260']"
E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,[]
E49,Instantiated MRClientService at MININT-<*>/<*>:<*>,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,"['FNANLI5.fareast.corp.microsoft.com/10.86.169.121', '62260']"
E51,IPC Server Responder: starting,IPC Server Responder: starting,[]
E50,IPC Server listener on <*>: starting,IPC Server listener on 62260: starting,['62260']
E64,Logging to <*>(org.mortbay.log) via <*>,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,"['org.slf4j.impl.Log4jLoggerAdapter', 'org.mortbay.log.Slf4jLog']"
E47,Http request log for http.requests.mapreduce is not defined,Http request log for http.requests.mapreduce is not defined,[]
E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),[]
