EventId,EventTemplate,Content,ParameterList
E42,onStandStepChanged <*>,onStandStepChanged 3579,['3579']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038530000 14 0 4,"['1514038530000', '14 0 4']"
E41,onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,[]
E43,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,[]
E12,flush sensor data,flush sensor data,[]
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,['1514038440000##7007##548365##8661##12361##27173954']
E42,onStandStepChanged <*>,onStandStepChanged 3579,['3579']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=126775,['126775']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7007 5002 150089 240,"['7007', '5002 150089 240']"
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038530000 0 0 4,"['1514038530000', '0 0 4']"
E42,onStandStepChanged <*>,onStandStepChanged 3579,['3579']
E42,onStandStepChanged <*>,onStandStepChanged 3580,['3580']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038530000 1 0 4,"['1514038530000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,['1514038440000##7008##548365##8661##12456##27174269']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=126797,['126797']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7008 5003 150111 240,"['7008', '5003 150111 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3581,['3581']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038531000 1 0 4,"['1514038531000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,['1514038440000##7009##548365##8661##12551##27174951']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=126818,['126818']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7009 5004 150132 240,"['7009', '5004 150132 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3583,['3583']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038531000 2 0 4,"['1514038531000', '2 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,['1514038440000##7011##548365##8661##12646##27175461']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=126861,['126861']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7011 5005 150175 240,"['7011', '5005 150175 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3584,['3584']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038532000 1 0 4,"['1514038532000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,['1514038440000##7012##548365##8661##12741##27176464']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=126882,['126882']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7012 5006 150197 240,"['7012', '5006 150197 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3585,['3585']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038533000 1 0 4,"['1514038533000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,['1514038440000##7013##548365##8661##12836##27176966']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=126904,['126904']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7013 5007 150218 240,"['7013', '5007 150218 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3586,['3586']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038533000 1 0 4,"['1514038533000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,['1514038440000##7014##548365##8661##12931##27177463']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=126925,['126925']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7014 5007 150239 240,"['7014', '5007 150239 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3587,['3587']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038534000 1 0 4,"['1514038534000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,['1514038440000##7015##548365##8661##13026##27177962']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=126947,['126947']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7015 5008 150261 240,"['7015', '5008 150261 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3588,['3588']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038535000 1 0 4,"['1514038535000', '1 0 4']"
E40,onReceive action: android.intent.action.SCREEN_OFF,onReceive action: android.intent.action.SCREEN_OFF,[]
E42,onStandStepChanged <*>,onStandStepChanged 3589,['3589']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038535000 1 0 4,"['1514038535000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,['1514038440000##7017##548365##8661##13121##27179330']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=126989,['126989']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E35,isScreenOn true,isScreenOn true,[]
E53,"screen status unknown,think screen on","screen status unknown,think screen on",[]
E47,REPORT : <*> <*> <*> <*>,REPORT : 7017 5010 150304 240,"['7017', '5010 150304 240']"
E41,onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,[]
E43,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,[]
E12,flush sensor data,flush sensor data,[]
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,['1514038440000##7017##548365##8661##13216##27179417']
E42,onStandStepChanged <*>,onStandStepChanged 3589,['3589']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=126989,['126989']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7017 5010 150304 240,"['7017', '5010 150304 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3589,['3589']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038536000 0 0 4,"['1514038536000', '0 0 4']"
E42,onStandStepChanged <*>,onStandStepChanged 3590,['3590']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038536000 1 0 4,"['1514038536000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,['1514038440000##7018##548365##8661##13311##27179732']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=127011,['127011']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7018 5010 150325 240,"['7018', '5010 150325 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3591,['3591']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038536000 1 0 4,"['1514038536000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,['1514038440000##7019##548365##8661##13406##27180468']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=127032,['127032']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7019 5011 150346 240,"['7019', '5011 150346 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3592,['3592']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038537000 1 0 4,"['1514038537000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,['1514038440000##7020##548365##8661##13501##27180976']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=127054,['127054']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7020 5012 150368 240,"['7020', '5012 150368 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3593,['3593']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038538000 1 0 4,"['1514038538000', '1 0 4']"
E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,[]
E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,['1514038440000##7021##548365##8661##13596##27181971']
E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=127075,['127075']
E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=240,['240']
E47,REPORT : <*> <*> <*> <*>,REPORT : 7021 5012 150389 240,"['7021', '5012 150389 240']"
E42,onStandStepChanged <*>,onStandStepChanged 3594,['3594']
E39,onExtend:<*> <*> <*> <*>,onExtend:1514038538000 1 0 4,"['1514038538000', '1 0 4']"
