EventId,EventTemplate,Content,ParameterList
E252,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,"['<0>', '0x0', '0x0', '11', '0']"
E323,Thermal pressure state: <*> Memory pressure state: <*>,Thermal pressure state: 1 Memory pressure state: 0,"['1', '0']"
E216,FA||Url||taskID[<*>] dealloc,FA||Url||taskID[2019352994] dealloc,['2019352994']
E128,ARPT: <*>.<*>: AirPort_<*>::syncPowerState: WWEN[enabled],ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],"['620701.011328', 'Brcm43xx']"
E124,ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[disable],ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],"['620702.879952', 'Brcm43xx']"
E260,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),['FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF']
E135,"ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,","ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","['620749.901374', '0']"
E149,"ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>","ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096","['620750.434035', '3226706533', '3871687177', '4096']"
E131,ARPT: <*>.<*>: ARPT: Wake Reason: Wake on Scan offload,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,['620752.337198']
E50,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,"['73', '2']"
E58,<*>::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,['IO80211AWDLPeerManager']
E50,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,"['73', '2']"
