EventId,EventTemplate,Content,ParameterList
E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,"['ns.marryaldkfaczcz.com', '173.234.31.186']"
E13,Invalid user <*> from <*>,Invalid user webmaster from 173.234.31.186,"['webmaster', '173.234.31.186']"
E12,input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user webmaster [preauth],['webmaster']
E21,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user unknown,[]
E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186,"['0', '0', '173.234.31.186']"
E10,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user webmaster from 173.234.31.186 port 38926 ssh2,"['webmaster', '173.234.31.186', '38926']"
E2,Connection closed by <*> [preauth],Connection closed by 173.234.31.186 [preauth],['173.234.31.186']
E2,Connection closed by <*> [preauth],Connection closed by 212.47.254.145 [preauth],['212.47.254.145']
E13,Invalid user <*> from <*>,Invalid user test9 from 52.80.34.196,"['test9', '52.80.34.196']"
E12,input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user test9 [preauth],['test9']
E21,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user unknown,[]
E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn,"['0', '0', 'ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn']"
E10,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user test9 from 52.80.34.196 port 36060 ssh2,"['test9', '52.80.34.196', '36060']"
E24,Received disconnect from <*>: <*>: Bye Bye [preauth],Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],"['52.80.34.196', '11']"
