EventId,EventTemplate,Content,ParameterList
E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2477829","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1', '200', '1893', '0.2477829']"
E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2577181","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1', '200', '1893', '0.2577181']"
E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2731631","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1', '200', '1893', '0.2731631']"
E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580249","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1', '200', '1893', '0.2580249']"
E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2727931","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1', '200', '1893', '0.2727931']"
E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2642131","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1', '200', '1893', '0.2642131']"
E22,[instance: <*>] VM Started (Lifecycle Event),[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Started (Lifecycle Event),['b9000564-fe1a-409b-b8cc-1e88b294cd1d']
E20,[instance: <*>] VM Paused (Lifecycle Event),[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Paused (Lifecycle Event),['b9000564-fe1a-409b-b8cc-1e88b294cd1d']
E7,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip.,['b9000564-fe1a-409b-b8cc-1e88b294cd1d']
E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4256971","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1', '200', '1893', '0.4256971']"
E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2661140","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1', '200', '1893', '0.2661140']"
