EventId,EventTemplate,Content,ParameterList
E22,"Registered signal handlers for [TERM, HUP, INT]","Registered signal handlers for [TERM, HUP, INT]",[]
E5,Changing view acls to: <*>,"Changing view acls to: yarn,curi","['yarn,curi']"
E4,Changing modify acls to: <*>,"Changing modify acls to: yarn,curi","['yarn,curi']"
E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",[]
E5,Changing view acls to: <*>,"Changing view acls to: yarn,curi","['yarn,curi']"
E4,Changing modify acls to: <*>,"Changing modify acls to: yarn,curi","['yarn,curi']"
E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",[]
E28,Slf4jLogger started,Slf4jLogger started,[]
E31,Starting remoting,Starting remoting,[]
E23,Remoting started; listening on addresses :[akka.tcp://<*>],Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],['sparkExecutorActorSystem@mesos-slave-07:55904']
E34,Successfully started service 'sparkExecutorActorSystem' on port <*>.,Successfully started service 'sparkExecutorActorSystem' on port 55904.,['55904']
E7,Created local directory at <*>,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,['/opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4']
E18,MemoryStore started with capacity <*> GB,MemoryStore started with capacity 17.7 GB,['17.7']
E6,Connecting to driver: spark://<*>,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,['CoarseGrainedScheduler@10.10.34.11:48069']
E32,Successfully registered with driver,Successfully registered with driver,[]
E30,Starting executor ID <*> on host <*>,Starting executor ID 5 on host mesos-slave-07,"['5', 'mesos-slave-07']"
E33,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,['40984']
E27,Server created on <*>,Server created on 40984,['40984']
E36,Trying to register BlockManager,Trying to register BlockManager,[]
E21,Registered BlockManager,Registered BlockManager,[]
E11,Got assigned task <*>,Got assigned task 0,['0']
E11,Got assigned task <*>,Got assigned task 1,['1']
E11,Got assigned task <*>,Got assigned task 2,['2']
E11,Got assigned task <*>,Got assigned task 3,['3']
E24,Running task <*> in stage <*> (TID <*>),Running task 0.0 in stage 0.0 (TID 0),"['0.0', '0.0', '0']"
E24,Running task <*> in stage <*> (TID <*>),Running task 2.0 in stage 0.0 (TID 2),"['2.0', '0.0', '2']"
E24,Running task <*> in stage <*> (TID <*>),Running task 1.0 in stage 0.0 (TID 1),"['1.0', '0.0', '1']"
E24,Running task <*> in stage <*> (TID <*>),Running task 3.0 in stage 0.0 (TID 3),"['3.0', '0.0', '3']"
E11,Got assigned task <*>,Got assigned task 4,['4']
E24,Running task <*> in stage <*> (TID <*>),Running task 4.0 in stage 0.0 (TID 4),"['4.0', '0.0', '4']"
E29,Started reading broadcast variable <*>,Started reading broadcast variable 9,['9']
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)","['broadcast_9_piece0', '5.2 KB', '5.2 KB']"
E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable 9 took 160 ms,"['9', '160']"
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)","['broadcast_9', '8.8 KB', '14.0 KB']"
E19,"Partition rdd_<*> not found, computing it","Partition rdd_2_1 not found, computing it",['2_1']
E19,"Partition rdd_<*> not found, computing it","Partition rdd_2_3 not found, computing it",['2_3']
E19,"Partition rdd_<*> not found, computing it","Partition rdd_2_0 not found, computing it",['2_0']
E19,"Partition rdd_<*> not found, computing it","Partition rdd_2_2 not found, computing it",['2_2']
